epoch,sat_id,state_index,active,observable,lifecycle_state,lineage_id,generation,parent_lineage_id,sigma_mm,resets,accepts,rejects,born_epoch,lifetime_epochs,rejection_streak,acceptance_streak,continuous_active_epochs,continuous_filter_epochs,rolling_sigma_mm,convergence_score
1200,G30,26,0,0,DORMANT,LIN-001930,17,LIN-001929,19987.30,17,75,584,1070,130,0,0,0,0,20000.00,0.0000
1200,G31,16,0,0,DORMANT,LIN-001436,5,LIN-001429,20000.00,4,0,44,79,1121,4,0,0,0,20000.00,0.0000
1500,E02,24,1,1,ACTIVE,LIN-001463,0,,42.18,0,130,1072,275,1225,5,0,1204,130,42.46,0.1789
1500,E03,25,0,0,DORMANT,LIN-001904,0,,19992.35,4,71,618,1007,493,3,0,0,0,19998.88,0.0000
1500,E04,6,0,0,DORMANT,LIN-001446,0,,19990.99,5,2,96,105,1395,0,0,0,0,20000.00,0.0000
1500,E05,17,0,0,DORMANT,LIN-001787,5,LIN-001786,19973.26,5,84,699,782,718,7,0,0,0,19998.23,0.0000
1500,E09,7,0,0,DORMANT,LIN-001659,11,LIN-001652,19955.84,11,16,504,531,969,0,0,0,0,20000.00,0.0000
1500,E13,40,1,1,ACTIVE,LIN-002066,0,,46.29,0,23,168,1279,221,10,0,222,23,46.59,0.1769
1500,E14,35,0,0,DORMANT,LIN-002239,11,LIN-002237,19989.20,11,67,376,1423,77,0,0,0,0,20000.00,0.0000
1500,E16,8,0,0,DORMANT,LIN-001662,75,LIN-001660,19981.51,75,2,455,532,968,0,0,0,0,20000.00,0.0000
1500,E18,22,0,0,DORMANT,LIN-001449,0,,20000.00,0,0,0,141,1359,0,0,0,0,20000.00,0.0000
1500,E25,20,0,0,DORMANT,LIN-001767,1,LIN-001430,46.14,1,131,916,689,811,5,0,0,0,55.87,0.0000
1500,E30,34,1,1,ACTIVE,LIN-001933,1,LIN-001893,46.11,1,67,468,1087,413,10,0,414,56,46.41,0.1769
1500,E34,32,1,1,ACTIVE,LIN-001782,1,LIN-001777,46.10,1,108,664,753,747,10,0,748,104,46.40,0.1769
1500,G01,9,0,0,DORMANT,LIN-001857,73,LIN-001856,19998.61,78,60,340,864,636,0,0,0,0,19999.96,0.0000
1500,G02,18,0,0,DORMANT,LIN-001766,55,LIN-001765,19995.99,59,16,153,684,816,1,0,0,0,19999.79,0.0000
1500,G03,10,0,0,DORMANT,LIN-001497,20,LIN-001494,19956.98,20,27,335,381,1119,1,0,0,0,20000.00,0.0000
1500,G04,11,0,0,DORMANT,LIN-001712,9,LIN-001711,19982.28,9,4,577,590,910,0,0,0,0,20000.00,0.0000
1500,G05,39,1,1,ACTIVE,LIN-002024,44,LIN-002018,39.69,44,48,252,1219,281,5,0,282,46,40.00,0.1802
1500,G06,31,0,0,DORMANT,LIN-002133,78,LIN-002131,19995.75,79,64,481,1339,161,0,0,0,0,20000.00,0.0000
1500,G07,19,0,0,DORMANT,LIN-001898,14,LIN-001897,19994.08,14,89,756,942,558,0,0,0,0,20000.00,0.0000
1500,G08,12,0,0,DORMANT,LIN-001705,7,LIN-001703,19976.36,98,55,383,570,930,0,0,0,0,20000.00,0.0000
1500,G09,21,0,0,DORMANT,LIN-001780,13,LIN-001779,19939.64,13,70,567,731,769,0,0,0,0,19996.64,0.0000
1500,G11,33,1,1,ACTIVE,LIN-001886,21,LIN-001885,42.45,26,80,507,926,574,10,0,575,79,42.73,0.1788
1500,G12,38,1,1,ACTIVE,LIN-002045,47,LIN-002043,42.46,47,41,261,1253,247,6,0,248,33,42.75,0.1788
1500,G13,30,1,1,ACTIVE,LIN-002316,7,LIN-002313,20000.00,8,57,383,1500,0,0,0,1,0,20000.00,0.0000
1500,G14,23,0,0,DORMANT,LIN-002039,2,LIN-002032,19995.78,5,93,851,1246,254,0,0,0,0,20000.00,0.0000
1500,G15,42,1,1,ACTIVE,LIN-002317,33,LIN-002314,20000.00,33,2,38,1500,0,0,0,1,0,20000.00,0.0000
1500,G16,13,0,0,DORMANT,LIN-001464,13,LIN-001462,19955.38,13,1,262,275,1225,1,0,0,0,19993.74,0.0000
1500,G17,28,0,0,DORMANT,LIN-001985,1,LIN-001977,43.12,6,97,626,1184,316,5,0,0,0,46.91,0.0000
1500,G19,29,0,0,DORMANT,LIN-002228,0,,19992.63,3,121,740,1416,84,1,0,0,0,19997.72,0.0000
1500,G21,37,1,1,ACTIVE,LIN-001936,6,LIN-001935,39.68,7,62,379,1095,405,5,0,406,56,39.99,0.1802
1500,G22,27,0,0,DORMANT,LIN-002152,21,LIN-002150,19998.17,21,92,844,1350,150,0,0,0,0,20000.00,0.0000
