epoch,sod,sat,ki,alive_epochs,sigma_mm,accepted_phase_updates,rejected_phase_updates,phase_rows_present,phase_rows_missing,last_H_norm,participated_in_update,kalman_gain_norm,last_successful_update_epoch,epochs_since_last_accept,is_newborn,is_recently_reset
41,1230.0,G01,5,41,122.4821,41,0,1,0,3.192513,0,0.000000,41,0,0,0
41,1230.0,G03,6,41,64.7557,41,0,1,0,2.042299,0,0.000000,41,0,0,0
41,1230.0,G04,7,41,105.8887,41,0,1,0,2.581457,0,0.000000,41,0,0,0
41,1230.0,G08,8,8,599.8535,17,0,1,0,3.266639,0,0.000000,41,0,0,0
41,1230.0,G16,9,41,61.8315,41,0,1,0,2.047642,0,0.000000,41,0,0,0
41,1230.0,G26,10,41,95.7106,41,0,1,0,2.567493,0,0.000000,41,0,0,0
41,1230.0,G27,11,41,113.3990,41,0,1,0,2.831015,0,0.000000,41,0,0,0
41,1230.0,G02,12,5,20000.0000,2,0,1,0,4.197031,0,0.000000,18,23,0,0
41,1230.0,G07,13,5,20000.0000,0,0,1,0,nan,0,0.000000,-1,41,0,0
42,1260.0,G01,5,42,119.0871,42,0,1,0,3.202169,0,0.000000,42,0,0,0
42,1260.0,G03,6,42,63.2034,42,0,1,0,2.041836,0,0.000000,42,0,0,0
42,1260.0,G04,7,42,102.7591,42,0,1,0,2.575812,0,0.000000,42,0,0,0
42,1260.0,G08,8,9,508.0071,18,0,1,0,3.252465,0,0.000000,42,0,0,0
42,1260.0,G16,9,42,60.2414,42,0,1,0,2.048384,0,0.000000,42,0,0,0
42,1260.0,G26,10,42,93.4465,42,0,1,0,2.575712,0,0.000000,42,0,0,0
