SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,ZHD_m,ZWD_m,ZTD_m,ISB_mm,CodeRMS_mm,PhsRMS_mm
2820.0,FWD,1337935.8621,6070317.6617,1427877.6289,1337935.5599,6070317.2377,1427877.5071,+302.222,+424.038,+121.791,-203.868,+10.702,+494.270,534.771,14,8,3,2.0909,-0.0078,2.0830,+2861.872,1602.08,12.802
2850.0,FWD,1337935.8644,6070317.6494,1427877.6253,1337935.5599,6070317.2377,1427877.5071,+304.499,+411.729,+118.214,-208.741,+9.815,+482.230,525.561,14,8,3,2.0909,-0.0081,2.0828,+2863.611,1442.15,12.472
2880.0,FWD,1337935.8666,6070317.6355,1427877.6217,1337935.5599,6070317.2377,1427877.5071,+306.699,+397.812,+114.602,-213.885,+9.251,+468.636,515.221,14,7,3,2.0909,-0.0025,2.0883,+2865.282,2025.94,11.535
2910.0,FWD,1337935.8694,6070317.6208,1427877.6181,1337935.5599,6070317.2377,1427877.5071,+309.479,+383.059,+111.007,-219.775,+8.859,+454.372,504.811,14,7,3,2.0909,0.0000,2.0909,+2866.953,1296.55,12.541
2940.0,FWD,1337935.8697,6070317.6032,1427877.6126,1337935.5599,6070317.2377,1427877.5071,+309.769,+365.491,+105.483,-223.840,+7.329,+436.473,490.578,14,7,3,2.0909,0.0035,2.0944,+2868.604,1370.02,12.876
2970.0,FWD,1337935.8732,6070317.5875,1427877.6081,1337935.5599,6070317.2377,1427877.5071,+313.275,+349.803,+101.016,-230.641,+6.259,+421.276,480.320,14,7,3,2.0909,0.0047,2.0956,+2870.353,957.42,12.227
3000.0,FWD,1337935.8744,6070317.5797,1427877.6055,1337935.5599,6070317.2377,1427877.5071,+314.455,+341.990,+98.361,-233.475,+5.334,+413.491,474.883,13,7,3,2.0909,0.0050,2.0959,+2871.456,1771.46,10.067
3030.0,FWD,1337935.8761,6070317.5704,1427877.6021,1337935.5599,6070317.2377,1427877.5071,+316.204,+332.719,+95.044,-237.178,+4.057,+404.290,468.743,14,7,3,2.0909,0.0063,2.0971,+2872.727,1012.42,10.239
3060.0,FWD,1337935.8769,6070317.5626,1427877.5988,1337935.5599,6070317.2377,1427877.5071,+317.029,+324.860,+91.667,-239.676,+2.457,+396.225,463.082,14,7,3,2.0909,0.0073,2.0982,+2873.814,2413.79,11.150
3090.0,FWD,1337935.8780,6070317.5534,1427877.5956,1337935.5599,6070317.2377,1427877.5071,+318.138,+315.690,+88.498,-242.732,+1.333,+387.018,456.841,14,7,3,2.0909,0.0093,2.1002,+2874.762,2370.03,11.391
3120.0,FWD,1337935.8791,6070317.5448,1427877.5923,1337935.5599,6070317.2377,1427877.5071,+319.170,+307.053,+85.150,-245.599,-0.079,+378.263,451.001,13,7,3,2.0909,0.0102,2.1010,+2875.769,2991.78,10.378
3150.0,FWD,1337935.8815,6070317.5366,1427877.5902,1337935.5599,6070317.2377,1427877.5071,+321.596,+298.861,+83.069,-249.731,-0.421,+370.508,446.813,14,7,3,2.0909,0.0100,2.1008,+2876.728,2176.86,8.057
3180.0,FWD,1337935.8825,6070317.5275,1427877.5870,1337935.5599,6070317.2377,1427877.5071,+322.605,+289.797,+79.949,-252.667,-1.516,+361.393,440.963,13,7,3,2.0909,0.0119,2.1028,+2877.555,969.99,14.090
