epoch,sod,dx,dy,dz,receiver_clock_mm,zwd_mm,pos_update_norm_mm,clk_update_mm,zwd_update_mm,condP,pos_sigma_mm,clk_sigma_mm,zwd_sigma_mm,gps_amb_sigma_mean_mm,gps_amb_sigma_min_mm,gps_amb_sigma_max_mm,gps_phase_rms_mm,gps_code_rms_mm
83,2490.0,-1.085906,0.238206,1.264155,-1045.9484,128.7166,38.5733,45.6591,3.2939,8.4883e+01,119.3313,92.8809,16.7403,2355.12,48.86,20000.00,35.3933,1224.7576
84,2520.0,-1.089308,0.201878,1.265583,-1015.3031,128.5322,36.5156,30.6453,0.1844,8.3950e+01,118.1759,92.1189,16.6987,144.44,48.25,396.16,54.2085,1334.8772
85,2550.0,-1.103688,0.184498,1.261655,-1057.6465,127.9913,22.8968,42.3434,0.5409,8.3289e+01,117.0470,91.2931,16.6568,124.96,47.65,340.77,39.1196,1497.3036
86,2580.0,-1.123149,0.136934,1.268082,-949.2327,123.8590,51.7917,108.4138,4.1323,8.2425e+01,115.9432,90.5458,16.6150,2310.08,47.07,20000.00,49.6186,2019.8898
87,2610.0,-1.144666,0.086747,1.272516,-1201.4937,120.2866,54.7840,252.2610,3.5724,8.1417e+01,114.8640,90.1281,16.5758,1154.51,46.50,9657.76,45.3547,1368.9168
88,2640.0,-1.150128,0.055783,1.285409,-1352.9796,120.1034,33.9835,151.4860,0.1832,8.0939e+01,113.8071,89.0622,16.5296,604.69,45.95,4755.09,46.1505,1907.7016
89,2670.0,-1.133082,0.065714,1.277878,-1495.7230,119.7557,21.1165,142.7433,0.3478,8.0192e+01,112.7723,88.3267,16.4812,2294.42,45.40,20000.00,69.4918,1195.2460
90,2700.0,-1.112836,0.068757,1.255396,-1180.3469,123.8859,30.4073,315.3761,4.1303,7.0215e+01,111.9595,98.7630,16.5247,1253.71,49.14,9449.92,179.2120,1828.5632
91,2730.0,-1.110080,0.040076,1.250059,-1493.9794,119.9363,29.3038,313.6325,3.9496,6.9555e+01,111.1594,96.5505,16.5643,2798.45,48.49,20000.00,146.5142,1984.1923
92,2760.0,-1.105158,0.037473,1.244299,-1464.5045,122.4526,8.0111,29.4749,2.5163,7.3698e+01,110.2880,88.4438,16.4747,883.58,47.05,4623.06,40.9088,1511.2794
93,2790.0,-1.117997,0.053642,1.215353,-1261.2174,125.0248,35.5545,203.2871,2.5722,7.1554e+01,109.4650,89.8601,16.4104,503.19,46.18,2107.95,77.7636,1801.8200
94,2820.0,-1.143042,0.031786,1.205008,-996.2051,126.0041,34.8135,265.0124,0.9793,7.0329e+01,108.6809,92.1381,16.3786,351.25,45.60,1403.53,118.1891,1768.6356
95,2850.0,-1.154447,0.022770,1.193644,-1291.1934,123.9462,18.4523,294.9883,2.0580,7.1424e+01,107.8835,89.0351,16.3447,269.75,44.75,1085.57,69.5314,1752.2039
96,2880.0,-1.141095,0.016628,1.195431,-1132.2685,123.0197,14.8052,158.9249,0.9265,7.2319e+01,107.0737,85.3696,16.2498,219.16,43.58,870.55,40.0706,2395.5144
97,2910.0,-1.135104,0.022965,1.199516,-1365.8576,123.7506,9.6300,233.5891,0.7310,6.7900e+01,106.3907,89.6256,16.2666,2401.83,42.95,20000.00,119.9315,1361.8967
98,2940.0,-1.140753,0.023963,1.185378,-1154.4029,127.3973,15.2574,211.4547,3.6467,6.6389e+01,105.7282,86.9965,16.2431,1041.18,42.18,7974.07,73.8120,1793.4224
99,2970.0,-1.129224,0.023004,1.171277,-1035.4433,129.5457,18.2393,118.9596,2.1484,6.7227e+01,105.0535,84.2068,16.2056,564.07,41.22,3845.29,45.6920,1333.7459
100,3000.0,-1.122645,0.027202,1.155121,-1058.4257,129.1792,17.9415,22.9824,0.3665,6.6764e+01,104.4532,83.5092,16.1698,382.98,40.35,2343.17,51.9149,2336.6634
101,3030.0,-1.116942,0.045490,1.141091,-1113.9734,130.0814,23.7460,55.5477,0.9022,6.6428e+01,103.8028,82.7408,16.1311,291.23,39.54,1618.82,62.9076,1129.1465
