SOD,sat,d_wl,wl_residual_raw,wl_residual_corrected,wl_std,wl_fixable_before,wl_fixable_after
15720,E03,0.020246,0.057851,0.037977,0.332553,1,1
15750,E02,0.099018,0.128255,0.029477,0.316826,1,1
15750,E03,0.020622,0.058601,0.038355,0.332007,1,1
15780,E02,0.099267,0.129829,0.030811,0.317026,1,1
15780,E03,0.020994,0.058699,0.038078,0.331278,1,1
15810,E02,0.099514,0.129783,0.030516,0.316336,1,1
15810,E03,0.021354,0.057939,0.036945,0.330749,1,1
15840,E02,0.099768,0.130838,0.031323,0.316056,1,1
15840,E03,0.021709,0.057864,0.036511,0.330028,1,1
15870,E02,0.100022,0.131169,0.031401,0.315414,1,1
15870,E03,0.022062,0.058066,0.036357,0.329324,1,1
15900,E02,0.100271,0.130765,0.030743,0.314797,1,1
15900,E03,0.022414,0.058344,0.036282,0.328638,1,1
15930,E02,0.100513,0.130139,0.029868,0.314269,1,1
15930,E03,0.022768,0.059051,0.036637,0.328104,1,1
15960,E02,0.100739,0.128522,0.028009,0.314574,1,1
15960,E03,0.023117,0.058926,0.036158,0.327405,1,1
15990,E02,0.100952,0.127311,0.026573,0.314454,1,1
15990,E03,0.023467,0.059444,0.036327,0.326800,1,1
16020,E02,0.101156,0.126292,0.025340,0.314181,1,1
16020,E03,0.023818,0.059921,0.036454,0.326186,1,1
16050,E02,0.101367,0.127436,0.026280,0.314014,1,1
16050,E03,0.024163,0.059846,0.036029,0.325496,1,1
16080,E02,0.101583,0.128391,0.027025,0.313703,1,1
16080,E03,0.024505,0.059793,0.035630,0.324810,1,1
16110,E02,0.101808,0.129850,0.028267,0.313860,1,1
16110,E03,0.024848,0.060427,0.035922,0.324273,1,1
16140,E02,0.102046,0.131826,0.030017,0.314700,1,1
16140,E03,0.025194,0.061126,0.036278,0.323774,1,1
16170,E02,0.102276,0.131102,0.029056,0.314250,1,1
16170,E03,0.025547,0.062287,0.037092,0.323596,1,1
16200,E02,0.102495,0.130032,0.027756,0.314045,1,1
16200,E03,0.025899,0.062717,0.037170,0.322993,1,1
16230,E02,0.102719,0.130841,0.028346,0.313654,1,1
16230,E03,0.026241,0.062014,0.036115,0.322510,1,1
16260,E02,0.102950,0.132003,0.029284,0.313539,1,1
16260,E03,0.026574,0.061585,0.035344,0.321915,1,1
16290,E02,0.103187,0.133065,0.030115,0.313343,1,1
16290,E03,0.026899,0.061067,0.034492,0.321356,1,1
16320,E02,0.103427,0.133679,0.030492,0.312856,1,1
16320,E03,0.027222,0.061244,0.034345,0.320712,1,1
16350,E02,0.103661,0.133131,0.029704,0.312343,1,1
16350,E03,0.027547,0.061833,0.034611,0.320192,1,1
16380,E02,0.103885,0.132126,0.028466,0.312116,1,1
16380,E03,0.027863,0.061257,0.033710,0.319671,1,1
16410,E02,0.104088,0.129993,0.026108,0.313305,1,1
16410,E03,0.028168,0.060433,0.032570,0.319289,1,1
16440,E02,0.104294,0.130624,0.026536,0.312840,1,1
16440,E03,0.028463,0.059888,0.031720,0.318763,1,1
16470,E02,0.104504,0.131186,0.026891,0.312345,1,1
16470,E03,0.028760,0.060282,0.031819,0.318185,1,1
16500,E02,0.104717,0.131780,0.027276,0.311870,1,1
16500,E03,0.029048,0.059819,0.031060,0.317635,1,1
16530,E02,0.104927,0.131592,0.026876,0.311270,1,1
16530,E03,0.029328,0.059194,0.030145,0.317159,1,1
16560,E02,0.105136,0.131697,0.026771,0.310664,1,1
16560,E03,0.029603,0.058965,0.029637,0.316553,1,1
16590,E02,0.105345,0.131857,0.026721,0.310067,1,1
16590,E03,0.029876,0.059174,0.029572,0.315946,1,1
16620,E02,0.105555,0.132181,0.026836,0.309506,1,1
16620,E03,0.030153,0.059859,0.029983,0.315515,1,1
16650,E02,0.105768,0.132706,0.027150,0.309021,1,1
16650,E03,0.030430,0.060133,0.029980,0.314929,1,1
16680,E02,0.105974,0.131980,0.026212,0.308644,1,1
16680,E03,0.030707,0.060548,0.030118,0.314385,1,1
16710,E02,0.106180,0.132267,0.026293,0.308084,1,1
16710,E03,0.030984,0.060828,0.030121,0.313808,1,1
16740,E02,0.106376,0.131217,0.025037,0.307959,1,1
16740,E03,0.031265,0.061578,0.030594,0.313433,1,1
16770,E02,0.106563,0.130245,0.023869,0.307771,1,1
16770,E03,0.031559,0.063603,0.032338,0.314523,1,1
16800,E02,0.106745,0.129777,0.023214,0.307279,1,1
16800,E03,0.031859,0.064861,0.033302,0.314574,1,1
16830,E02,0.106921,0.129205,0.022460,0.306837,1,1
16830,E03,0.032162,0.065421,0.033561,0.314103,1,1
16860,E02,0.107102,0.130128,0.023208,0.306624,1,1
16860,E03,0.032464,0.065761,0.033599,0.313554,1,1
16890,E02,0.107289,0.131013,0.023911,0.306386,1,1
16890,E03,0.032761,0.065452,0.032988,0.313000,1,1
