SOD,sat,sigma_P2_before,sigma_P2_after,sigma_L2_before,sigma_L2_after,elevation_deg,residual_P2_mm,residual_L2_mm
930.0,G31,857.7813,1286.6720,28.5927,34.3113,20.47,-563.60,-321.91
960.0,G01,777.2783,1165.9175,25.9093,31.0911,22.70,1422.63,-105.03
960.0,G03,327.4092,491.1138,10.9136,13.0964,66.39,12.74,-85.06
960.0,G04,596.4947,894.7421,19.8832,23.8598,30.19,323.66,-55.36
960.0,G16,324.3224,486.4835,10.8107,12.9729,67.67,167.59,25.52
960.0,G26,541.1783,811.7675,18.0393,21.6471,33.67,326.96,61.15
960.0,G27,697.3952,1046.0929,23.2465,27.8958,25.48,-493.27,75.55
960.0,G31,862.8544,1294.2816,28.7618,34.5142,20.35,-1898.53,-76.33
990.0,G01,780.5143,1170.7715,26.0171,31.2206,22.60,788.75,553.15
990.0,G03,327.0706,490.6059,10.9024,13.0828,66.52,788.44,453.80
990.0,G04,594.0576,891.0863,19.8019,23.7623,30.33,445.72,611.07
990.0,G08,876.6030,1314.9045,146.1005,175.3206,20.01,-4742.48,2423.32
990.0,G16,324.6613,486.9919,10.8220,12.9865,67.52,516.88,572.14
990.0,G26,544.1521,816.2282,18.1384,21.7661,33.46,816.38,607.52
990.0,G27,694.6310,1041.9465,23.1544,27.7852,25.59,301.77,607.79
990.0,G31,867.9743,1301.9615,28.9325,34.7190,20.22,-2240.22,400.64
1020.0,G01,783.7775,1175.6663,26.1259,31.3511,22.50,-2059.63,-10.62
1020.0,G03,326.7406,490.1109,10.8914,13.0696,66.66,-14.09,-112.53
1020.0,G04,591.6361,887.4541,19.7212,23.6654,30.47,-728.04,-47.65
1020.0,G08,871.0973,1306.6460,145.1829,174.2195,20.14,-764.78,-102.17
1020.0,G16,325.0088,487.5133,10.8336,13.0004,67.38,227.33,6.16
1020.0,G26,547.1655,820.7482,18.2388,21.8866,33.25,-24.30,34.15
1020.0,G27,691.8902,1037.8353,23.0630,27.6756,25.70,-1230.61,48.01
1020.0,G31,873.1416,1309.7124,29.1047,34.9257,20.10,-2405.04,-287.89
1050.0,G01,787.0681,1180.6022,26.2356,31.4827,22.41,-1773.28,42.99
1050.0,G03,326.4192,489.6287,10.8806,13.0568,66.79,-79.08,-48.44
1050.0,G04,589.2302,883.8453,19.6410,23.5692,30.61,-818.02,20.06
1050.0,G08,865.6467,1298.4700,144.2744,173.1293,20.28,360.20,46.51
1050.0,G16,325.3651,488.0477,10.8455,13.0146,67.23,545.06,40.86
1050.0,G26,550.2190,825.3285,18.3406,22.0088,33.04,-854.46,64.77
1050.0,G27,689.1726,1033.7589,22.9724,27.5669,25.80,-370.22,100.95
1050.0,G31,878.3568,1317.5352,29.2786,35.1343,19.97,-2572.36,-233.75
1080.0,G01,790.3863,1185.5794,26.3462,31.6155,22.31,-263.72,207.13
1080.0,G02,1289.9239,1934.8859,214.9873,257.9848,13.45,-3115.39,2435.63
1080.0,G03,326.1062,489.1593,10.8702,13.0442,66.92,74.99,124.95
1080.0,G04,586.8399,880.2598,19.5613,23.4736,30.74,-98.17,176.20
1080.0,G07,1451.7756,2177.6634,241.9626,290.3551,11.93,-6652.63,2435.63
1080.0,G08,860.2505,1290.3757,28.6750,34.4100,20.41,-838.69,216.36
1080.0,G16,325.7301,488.5952,10.8577,13.0292,67.07,413.46,235.56
1080.0,G26,553.3135,829.9702,18.4438,22.1325,32.83,-668.62,233.96
1080.0,G27,686.4781,1029.7172,22.8826,27.4591,25.91,-513.44,294.06
1080.0,G31,883.6205,1325.4308,29.4540,35.3448,19.85,-1259.26,-138.41
1110.0,G01,793.7322,1190.5982,26.4577,31.7493,22.21,-263.56,-77.57
1110.0,G02,1297.9109,1946.8663,216.3185,259.5822,13.36,-1766.69,-179.49
1110.0,G03,325.8017,488.7026,10.8601,13.0321,67.04,54.55,-131.58
1110.0,G04,584.4650,876.6975,19.4822,23.3786,30.88,13.80,-118.28
1110.0,G07,1443.2233,2164.8350,240.5372,288.6447,12.00,-1479.39,1046.27
1110.0,G08,854.9082,1282.3623,28.4969,34.1963,20.54,-1438.49,-103.94
1110.0,G16,326.1039,489.1558,10.8701,13.0442,66.92,-78.26,-25.96
1110.0,G26,556.4494,834.6742,18.5483,22.2580,32.62,-589.24,-60.58
1110.0,G27,683.8066,1025.7099,22.7936,27.3523,26.02,-700.21,-12.94
1110.0,G31,888.9333,1333.4000,29.6311,35.5573,19.72,334.36,-303.45
1140.0,G01,797.1060,1195.6589,26.5702,31.8842,22.11,150.72,-33.95
1140.0,G02,1305.9549,1958.9323,217.6591,261.1910,13.28,-1279.21,-71.62
1140.0,G03,325.5057,488.2586,10.8502,13.0202,67.17,206.94,-102.54
1140.0,G04,582.1054,873.1581,19.4035,23.2842,31.02,115.41,-52.43
1140.0,G07,1434.8115,2152.2173,239.1353,286.9623,12.07,271.43,533.67
1140.0,G08,849.6191,1274.4287,28.3206,33.9848,20.68,-8.91,-65.56
1140.0,G16,326.4865,489.7297,10.8829,13.0595,66.76,-50.83,-36.60
1140.0,G26,559.6277,839.4416,18.6543,22.3851,32.42,-488.55,-52.14
1140.0,G27,681.1578,1021.7368,22.7053,27.2463,26.13,-436.04,-17.39
1140.0,G31,894.2959,1341.4438,29.8099,35.7718,19.60,609.80,-239.84
1170.0,G01,800.5078,1200.7617,26.6836,32.0203,22.01,1189.31,178.96
