epoch,sat,sys,sigma_N1_m,range_100,corr_frac,frac_std,selected,reason
370,E16,E,0.035,5.477,0.0464,0.0315,0,res_thresh
370,E25,E,0.054,2.812,0.1194,0.0725,0,unstable
370,SUMMARY,,,,,,0,"GPS=0,GAL=1"
371,E16,E,0.035,5.468,0.0393,0.0326,0,res_thresh
371,E25,E,0.054,2.812,0.103,0.0723,0,unstable
371,SUMMARY,,,,,,0,"GPS=0,GAL=1"
372,E16,E,0.035,5.57,0.0309,0.0331,0,res_thresh
372,E25,E,0.054,2.684,0.0949,0.07,0,unstable
372,SUMMARY,,,,,,0,"GPS=0,GAL=1"
373,E16,E,0.034,5.57,0.0577,0.0351,0,frac
373,E25,E,0.053,2.628,0.0924,0.0661,0,unstable
373,SUMMARY,,,,,,0,"GPS=0,GAL=1"
374,E16,E,0.034,5.57,0.0485,0.0363,0,res_thresh
374,E25,E,0.052,2.628,0.1158,0.0622,0,unstable
374,SUMMARY,,,,,,0,"GPS=0,GAL=1"
375,E16,E,0.034,5.57,0.0419,0.0371,0,res_thresh
375,E25,E,0.052,2.566,0.1272,0.0608,0,unstable
375,SUMMARY,,,,,,0,"GPS=0,GAL=1"
376,E16,E,0.034,5.879,0.0313,0.0376,0,res_thresh
376,E25,E,0.052,2.568,0.1335,0.0624,0,unstable
376,SUMMARY,,,,,,0,"GPS=0,GAL=1"
377,E16,E,0.034,5.794,0.0275,0.038,1,ok
