epoch,sod,sat,const,GF_value_mm,MW_value_cyc,phase_jump_mm,code_jump_cyc,elevation_deg,pre_reset_sigma_mm,recent_phase_residual_rms_mm,recent_rejection_fraction,epochs_since_birth,was_recently_rejected,cumulative_reset_number
527,15810.0,G08,G,6132.4420,-7.040902,0.0000,0.0000,23.848,20000.0000,nan,nan,1,0,219
528,15840.0,E09,E,2384.5601,-8.214981,0.0000,0.0000,20.722,625.1046,41.6693,0.5000,3,0,220
528,15840.0,E16,E,15452.4419,22.857031,0.0000,0.0000,19.481,20000.0000,nan,nan,1,0,221
528,15840.0,G08,G,6200.6369,-6.594703,0.0000,0.0000,23.647,20000.0000,nan,nan,1,0,222
529,15870.0,E16,E,15553.8982,22.512839,0.0000,0.0000,19.376,20000.0000,nan,nan,1,0,223
529,15870.0,G08,G,6268.2990,-6.614142,0.0000,0.0000,23.447,20000.0000,nan,nan,1,0,224
530,15900.0,E16,E,15638.3125,22.132090,0.0000,0.0000,19.271,20000.0000,nan,nan,1,0,225
530,15900.0,G08,G,6342.4120,-6.742270,0.0000,0.0000,23.247,20000.0000,nan,nan,1,0,226
531,15930.0,E09,E,2518.5914,-11.382271,0.0000,0.0000,20.240,164.8184,33.8723,0.5000,3,0,227
531,15930.0,E16,E,15731.7401,22.072304,0.0000,0.0000,19.167,20000.0000,nan,nan,1,0,228
531,15930.0,G08,G,6418.9671,-7.358945,0.0000,0.0000,23.047,20000.0000,nan,nan,1,0,229
532,15960.0,E16,E,15833.2676,22.952913,0.0000,0.0000,19.064,20000.0000,nan,nan,1,0,230
532,15960.0,G08,G,6502.8264,-6.970492,0.0000,0.0000,22.847,20000.0000,nan,nan,1,0,231
533,15990.0,G08,G,6585.2299,-6.855635,0.0000,0.0000,22.647,20000.0000,nan,nan,1,0,232
534,16020.0,G08,G,6661.8390,-6.562947,0.0000,0.0000,22.447,20000.0000,nan,nan,1,0,233
535,16050.0,G08,G,6740.0401,-6.352392,0.0000,0.0000,22.247,20000.0000,nan,nan,1,0,234
536,16080.0,G08,G,6826.2971,-6.675644,0.0000,0.0000,22.048,20000.0000,nan,nan,1,0,235
