SOD,sat,arc_age,slip_detected,dGF_m,dMW_cyc,WL_before,WL_after,WL_jump,NL_fixed_before,NL_fixed_after,N1_before,N1_after,N2_before,N2_after,iono_before,iono_after,phase_rms_L1_mm,phase_rms_L2_mm,fallback_used,primary_signal_pair,osb_signal_pair,missing_prev_epoch,epochs_since_last_obs,mw_buffer_std,gf_consistency_triggered,iono_health_gate_triggered,reset_path,event_type
16320.0,G04,545,0,,,6,6,0,0,0,12.8819,12.8764,6.7962,6.7871,11.3321,11.3671,714.3942,1042.7204,0,C1C/L1C,C1C/L1C,0,,0.2516,0,0,NONE,L2_RMS_SPIKE
16350.0,G04,546,0,,,6,6,0,0,0,12.8764,12.8705,6.7871,6.7766,11.3671,11.3915,719.3879,1068.4783,0,C1C/L1C,C1C/L1C,0,,0.2542,0,0,NONE,L2_RMS_SPIKE
16440.0,G08,5,1,0.0845,0.1586,,,,0,0,12.9291,12.9291,12.6031,12.6031,15.4534,15.4534,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.3174,0,0,MW_GF_SLIP,SLIP
16440.0,G04,549,0,,,6,6,0,0,0,12.8671,12.8651,6.7718,6.7694,11.5301,11.6005,738.9599,1067.3405,0,C1C/L1C,C1C/L1C,0,,0.2539,0,0,NONE,L2_RMS_SPIKE
16530.0,G08,3,1,0.0857,-0.5727,,,,0,0,13.1474,13.1474,12.9648,12.9648,16.0780,16.0780,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.2504,0,0,MW_GF_SLIP,SLIP
16710.0,G08,6,1,0.1020,-0.1228,,,,0,0,10.2095,10.2095,9.1327,9.1327,16.1147,16.1147,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.9342,0,0,MW_GF_SLIP,SLIP
16710.0,G04,558,0,,,6,6,0,0,0,12.8555,12.8486,6.7600,6.7481,12.1067,12.1193,690.7781,1017.1494,0,C1C/L1C,C1C/L1C,0,,0.2661,0,0,NONE,L2_RMS_SPIKE
16740.0,G04,559,0,,,6,6,0,0,0,12.8486,12.8448,6.7481,6.7417,12.1193,12.1621,734.6699,1069.0188,0,C1C/L1C,C1C/L1C,0,,0.2672,0,0,NONE,L2_RMS_SPIKE
16770.0,G04,560,0,,,6,6,0,0,0,12.8448,12.8404,6.7417,6.7338,12.1621,12.1965,670.3795,1018.4214,0,C1C/L1C,C1C/L1C,0,,0.2694,0,0,NONE,L2_RMS_SPIKE
16800.0,G08,3,1,0.1028,-0.4277,,,,0,0,9.0185,9.0185,7.6354,7.6354,16.6002,16.6002,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.1609,0,0,MW_GF_SLIP,SLIP
16800.0,G04,561,0,,,6,6,0,0,0,12.8404,12.8397,6.7338,6.7338,12.1965,12.2824,711.5930,1035.3715,0,C1C/L1C,C1C/L1C,0,,0.2695,0,0,NONE,L2_RMS_SPIKE
16890.0,G08,2,0,,,,,,0,0,11.1092,11.1092,10.3191,10.3191,17.3619,17.3619,,,1,C1C/L1C,C1C/L1C,1,60.0000,,0,0,FRESH_ENTRY,REENTRY
16980.0,G08,3,1,0.1078,-1.3923,,,,0,0,7.6866,7.6866,6.0719,6.0719,17.3294,17.3294,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.2231,0,0,MW_GF_SLIP,SLIP
17130.0,G04,571,1,0.0528,2.5601,6,,,0,0,12.8524,12.8524,6.7738,6.7738,13.1891,13.1891,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.3121,0,0,MW_GF_SLIP,SLIP
17460.0,G02,81,1,0.0280,-1.8593,,,,0,0,157.5740,157.5740,198.6353,198.6353,18.1062,18.1062,,,1,C1C/L1C,C1C/L1C,0,30.0000,0.5583,0,0,MW_GF_SLIP,SLIP
