SOD,sat,old_I_m,new_I_m,trigger,used_ionex,VTEC,sigma_new_m
84810.0,G16,-2.1855,1.2864,neg(-2.186m),1,7.440,3.000
84810.0,G26,-2.1803,1.4653,neg(-2.180m),1,7.155,3.000
84810.0,G31,-2.1456,1.8316,neg(-2.146m),1,6.801,3.000
84840.0,G03,-2.4488,1.4320,neg(-2.449m),1,7.198,3.000
84840.0,G16,-2.3370,1.2854,neg(-2.337m),1,7.440,3.000
84840.0,G26,-2.2148,1.4680,neg(-2.215m),1,7.152,3.000
84870.0,G03,-2.6055,1.4292,neg(-2.606m),1,7.202,3.000
84870.0,G16,-2.2066,1.2845,neg(-2.207m),1,7.440,3.000
84870.0,G26,-2.3049,1.4707,neg(-2.305m),1,7.149,3.000
84870.0,G31,-2.0421,1.8412,neg(-2.042m),1,6.796,3.000
84900.0,G03,-2.5668,1.4264,neg(-2.567m),1,7.205,3.000
84900.0,G16,-2.2060,1.2837,neg(-2.206m),1,7.440,3.000
84900.0,G26,-2.2891,1.4735,neg(-2.289m),1,7.146,3.000
84900.0,G31,-2.1914,1.8461,neg(-2.191m),1,6.794,3.000
84930.0,G03,-2.3983,1.4237,neg(-2.398m),1,7.209,3.000
84930.0,G16,-2.1870,1.2828,neg(-2.187m),1,7.441,3.000
84930.0,G26,-2.1558,1.4763,neg(-2.156m),1,7.143,3.000
84930.0,G31,-2.2823,1.8509,neg(-2.282m),1,6.791,3.000
84960.0,G03,-2.3612,1.4210,neg(-2.361m),1,7.212,3.000
84960.0,G16,-2.0451,1.2819,neg(-2.045m),1,7.440,3.000
84960.0,G26,-2.2075,1.4792,neg(-2.207m),1,7.140,3.000
84960.0,G31,-2.1905,1.8558,neg(-2.191m),1,6.789,3.000
84990.0,G03,-2.4510,1.4183,neg(-2.451m),1,7.216,3.000
84990.0,G16,-2.1943,1.2811,neg(-2.194m),1,7.440,3.000
84990.0,G26,-2.2947,1.4821,neg(-2.295m),1,7.137,3.000
84990.0,G31,-2.1386,1.8606,neg(-2.139m),1,6.786,3.000
85020.0,G03,-2.4203,1.4156,neg(-2.420m),1,7.219,3.000
85020.0,G16,-2.3608,1.2803,neg(-2.361m),1,7.440,3.000
85020.0,G26,-2.4518,1.4850,neg(-2.452m),1,7.134,3.000
85020.0,G31,-2.3132,1.8655,neg(-2.313m),1,6.784,3.000
85050.0,G03,-2.4265,1.4129,neg(-2.426m),1,7.223,3.000
