SOD,pass,Computed_X,Computed_Y,Computed_Z,REF_X,REF_Y,REF_Z,DiffX_mm,DiffY_mm,DiffZ_mm,dE_mm,dN_mm,dU_mm,3D_mm,N,WL_fixed,NL_fixed,NL_genuine,ZHD_m,ZWD_m,ZTD_m,CodeRMS_mm,PhsRMS_mm
2970.0,BWD,1337935.7771,6070317.2373,1427877.5165,1337935.5599,6070317.2377,1427877.5071,+217.195,-0.438,+9.364,-212.199,-1.314,+47.240,217.398,5,11,8,0,2.0909,0.0971,2.1880,508.60,3.229
3000.0,BWD,1337935.7770,6070317.2366,1427877.5166,1337935.5599,6070317.2377,1427877.5071,+217.091,-1.082,+9.497,-212.236,-1.037,+46.636,217.302,4,11,8,0,2.0909,0.0967,2.1876,589.20,3.704
3030.0,BWD,1337935.7770,6070317.2360,1427877.5163,1337935.5599,6070317.2377,1427877.5071,+217.107,-1.693,+9.227,-212.383,-1.167,+45.997,217.310,5,11,8,0,2.0909,0.0963,2.1872,979.54,4.324
3060.0,BWD,1337935.7770,6070317.2351,1427877.5162,1337935.5599,6070317.2377,1427877.5071,+217.102,-2.577,+9.133,-212.568,-1.064,+45.134,217.309,5,11,8,0,2.0909,0.0958,2.1867,1286.39,7.880
3090.0,BWD,1337935.7777,6070317.2342,1427877.5168,1337935.5599,6070317.2377,1427877.5071,+217.831,-3.511,+9.659,-213.481,-0.381,+44.516,218.074,5,11,8,0,2.0909,0.0951,2.1859,919.59,5.168
3120.0,BWD,1337935.7772,6070317.2332,1427877.5161,1337935.5599,6070317.2377,1427877.5071,+217.332,-4.478,+8.958,-213.202,-0.827,+43.334,217.562,4,11,8,0,2.0909,0.0947,2.1855,522.95,4.803
3150.0,BWD,1337935.7770,6070317.2323,1427877.5158,1337935.5599,6070317.2377,1427877.5071,+217.108,-5.409,+8.653,-213.184,-0.909,+42.332,217.348,5,11,8,0,2.0909,0.0942,2.1850,463.64,2.604
3180.0,BWD,1337935.7767,6070317.2318,1427877.5161,1337935.5599,6070317.2377,1427877.5071,+216.838,-5.876,+9.019,-213.020,-0.436,+41.914,217.105,4,11,8,0,2.0909,0.0940,2.1848,453.48,4.097
3210.0,BWD,1337935.7760,6070317.2314,1427877.5166,1337935.5599,6070317.2377,1427877.5071,+216.110,-6.284,+9.531,-212.397,+0.188,+41.488,216.411,4,11,8,0,2.0909,0.0940,2.1848,386.81,3.417
3240.0,BWD,1337935.7756,6070317.2309,1427877.5171,1337935.5599,6070317.2377,1427877.5071,+215.663,-6.822,+9.951,-212.076,+0.737,+40.977,216.000,4,11,8,0,2.0909,0.0938,2.1847,653.17,7.536
3270.0,BWD,1337935.7755,6070317.2303,1427877.5184,1337935.5599,6070317.2377,1427877.5071,+215.610,-7.372,+11.273,-212.143,+2.149,+40.740,216.030,4,11,8,0,2.0909,0.0936,2.1844,676.13,4.407
3300.0,BWD,1337935.7748,6070317.2304,1427877.5186,1337935.5599,6070317.2377,1427877.5071,+214.874,-7.306,+11.489,-211.410,+2.380,+40.698,215.305,4,11,8,0,2.0909,0.0939,2.1847,567.16,7.822
3330.0,FWD,1337935.5436,6070316.9842,1427877.4962,1337935.5599,6070317.2377,1427877.5071,-16.345,-253.454,-10.944,-38.591,+45.898,-247.042,254.216,4,4,4,0,2.0909,0.1071,2.1980,348.86,1.720
3360.0,FWD,1337935.5434,6070316.9838,1427877.4961,1337935.5599,6070317.2377,1427877.5071,-16.490,-253.946,-11.016,-38.556,+45.942,-247.557,254.719,4,4,4,0,2.0909,0.1072,2.1981,616.83,0.410
