SOD,nGPS,nGal,NL_count,WL_count,n_sats,GPS_NE_frac,gal_sig_scale,Gal_leverage,sigma_U_comb_mm,sigma_U_GPS_mm,ISB_m,P_ISB_m2,ISB_observable,ZWD_m,P_ZWD_m2,corr_U_ZWD,corr_mean_60ep,Q_ZWD_m2s,decorr_active,trace_P_pos_m2,nml_sc_gps,nml_sc_gal
50760.0,8,3,0,2,11,0.6450,1.0000,269.932,14.43,3896.27,+1.354371,0.004499,1,0.119196,0.00002866,-0.0301,0.0327,5.000e-11,0,0.001111,1.0000,1.0000
50820.0,8,3,0,2,11,0.6484,1.0000,287.376,14.43,4146.99,+1.352306,0.004509,1,0.119191,0.00002862,-0.0300,0.0327,5.000e-11,0,0.001112,1.0050,0.9950
50880.0,8,3,0,2,11,0.9864,1.0000,288.309,14.43,4159.40,+1.350042,0.004527,1,0.119197,0.00002859,-0.0300,0.0326,5.000e-11,0,0.001112,1.0000,1.0000
50940.0,8,3,0,2,11,0.9397,1.0000,281.759,14.42,4063.82,+1.349525,0.004544,1,0.119177,0.00002855,-0.0299,0.0325,5.000e-11,0,0.001111,1.0050,0.9950
51000.0,8,4,0,2,12,0.8183,1.0000,162.356,14.42,2341.08,+1.348426,0.004557,1,0.119181,0.00002852,-0.0299,0.0324,5.000e-11,0,0.001111,1.0000,1.0000
51060.0,8,4,0,2,12,0.9926,1.0000,139.183,14.42,2006.43,+1.346546,0.004580,1,0.119178,0.00002848,-0.0298,0.0323,5.000e-11,0,0.001111,1.0000,1.0000
51120.0,8,4,0,2,12,0.8966,1.0000,140.028,14.41,2018.10,+1.345947,0.004602,1,0.119147,0.00002845,-0.0298,0.0322,5.000e-11,0,0.001111,1.0000,1.0000
51180.0,8,4,0,2,12,0.9496,1.0000,165.574,14.41,2385.58,+1.348572,0.004619,1,0.119122,0.00002841,-0.0298,0.0321,5.000e-11,0,0.001111,1.0050,0.9950
51240.0,8,4,0,2,12,0.8729,1.0000,221.097,14.40,3184.77,+1.349283,0.004644,1,0.119109,0.00002838,-0.0298,0.0321,5.000e-11,0,0.001111,1.0098,0.9902
51300.0,8,4,0,2,12,0.8739,1.0000,222.759,14.40,3207.94,+1.348009,0.004669,1,0.119120,0.00002834,-0.0297,0.0320,5.000e-11,0,0.001111,1.0143,0.9857
51360.0,8,4,0,2,12,0.3516,1.0000,147.465,14.40,2123.04,+1.348810,0.004607,1,0.119134,0.00002830,-0.0297,0.0319,5.000e-11,0,0.001111,1.0000,1.0000
51420.0,8,4,0,2,12,0.9419,1.0000,147.077,14.39,2116.89,+1.351565,0.004613,1,0.119099,0.00002827,-0.0297,0.0318,5.000e-11,0,0.001110,1.0050,0.9950
51480.0,8,4,0,2,12,0.8848,1.0000,224.049,14.39,3223.97,+1.350442,0.004632,1,0.119099,0.00002823,-0.0297,0.0317,5.000e-11,0,0.001110,1.0098,0.9902
51540.0,8,4,0,2,12,0.8856,1.0000,225.925,14.39,3250.18,+1.348114,0.004655,1,0.119066,0.00002820,-0.0297,0.0316,5.000e-11,0,0.001110,1.0143,0.9857
51600.0,8,3,0,2,11,0.6792,1.0000,251.841,14.38,3622.12,+1.347412,0.004671,1,0.119036,0.00002816,-0.0297,0.0316,5.000e-11,0,0.001111,1.0000,1.0000
51660.0,8,4,0,2,12,0.8947,1.0000,225.155,14.38,3237.54,+1.343738,0.004695,1,0.119018,0.00002813,-0.0296,0.0315,5.000e-11,0,0.001111,1.0050,0.9950
51720.0,8,4,0,2,12,0.9947,1.0000,186.901,14.38,2686.78,+1.344653,0.004719,1,0.119021,0.00002809,-0.0296,0.0314,5.000e-11,0,0.001111,1.0000,1.0000
51780.0,8,4,0,2,12,0.7133,1.0000,184.443,14.37,2650.78,+1.344600,0.004743,1,0.118961,0.00002806,-0.0296,0.0313,5.000e-11,0,0.001111,1.0050,0.9950
51840.0,8,4,0,2,12,0.8984,1.0000,242.860,14.37,3489.51,+1.345218,0.004768,1,0.118952,0.00002803,-0.0296,0.0313,5.000e-11,0,0.001111,1.0098,0.9902
51900.0,8,4,0,2,12,0.8989,1.0000,242.453,14.36,3482.84,+1.341540,0.004793,1,0.118967,0.00002799,-0.0296,0.0312,5.000e-11,0,0.001112,1.0143,0.9857
51960.0,8,4,0,2,12,0.6644,1.0000,143.370,14.36,2059.00,+1.335690,0.004810,1,0.118950,0.00002796,-0.0296,0.0311,5.000e-11,0,0.001112,1.0000,1.0000
52020.0,8,4,0,2,12,0.9466,1.0000,206.198,14.36,2960.56,+1.333342,0.004831,1,0.118929,0.00002792,-0.0296,0.0310,5.000e-11,0,0.001112,1.0050,0.9950
52080.0,8,4,0,2,12,0.7159,1.0000,210.625,14.35,3023.38,+1.333614,0.004853,1,0.118926,0.00002789,-0.0296,0.0310,5.000e-11,0,0.001112,1.0098,0.9902
52140.0,8,4,0,2,12,0.9072,1.0000,231.394,14.35,3320.71,+1.333797,0.004876,1,0.118906,0.00002785,-0.0296,0.0309,5.000e-11,0,0.001112,1.0143,0.9857
52200.0,8,4,0,3,12,0.8522,1.0000,239.308,14.35,3433.52,+1.331737,0.004902,1,0.118847,0.00002782,-0.0296,0.0308,5.000e-11,0,0.001113,1.0185,0.9815
52260.0,8,4,0,3,12,0.8516,1.0000,237.045,14.34,3400.29,+1.329580,0.004927,1,0.118801,0.00002778,-0.0295,0.0308,5.000e-11,0,0.001113,1.0226,0.9774
52320.0,8,4,0,2,12,0.9534,1.0000,178.677,14.34,2562.44,+1.328952,0.004949,1,0.118767,0.00002775,-0.0295,0.0307,5.000e-11,0,0.001114,1.0265,0.9735
52380.0,8,4,0,2,12,0.7482,1.0000,187.675,14.34,2690.85,+1.326160,0.004963,1,0.118741,0.00002771,-0.0295,0.0306,5.000e-11,0,0.001114,1.0302,0.9698
