SOD,sat,raw_frac,bias,corr_frac,sigma_N1_m,buf_n,fixed
1980.0,G03,-0.18076,+0.00000,-0.18076,0.1338,4,0
1980.0,G16,+0.05033,+0.00000,+0.05033,0.1242,3,0
2010.0,G03,-0.09528,+0.00000,-0.09528,0.1327,4,0
2010.0,G16,+0.06599,+0.00000,+0.06599,0.1232,4,0
2040.0,G03,-0.17702,+0.00000,-0.17702,0.1317,4,0
2040.0,G16,-0.06768,+0.00000,-0.06768,0.1223,4,0
2070.0,G03,-0.19662,+0.00000,-0.19662,0.1308,5,0
2070.0,G16,-0.07642,+0.00000,-0.07642,0.1214,5,0
2100.0,G03,-0.23172,+0.00000,-0.23172,0.1298,5,0
2100.0,G16,-0.15461,+0.00000,-0.15461,0.1206,5,0
2130.0,G03,-0.36437,+0.00000,-0.36437,0.1286,5,0
2130.0,G16,-0.25195,+0.00000,-0.25195,0.1196,5,0
2160.0,G03,-0.41738,+0.00000,-0.41738,0.1276,5,0
2160.0,G16,-0.23822,+0.00000,-0.23822,0.1188,6,0
2190.0,G03,-0.42729,+0.00000,-0.42729,0.1267,6,0
2190.0,G16,-0.18588,+0.00000,-0.18588,0.1180,6,0
2220.0,G03,-0.33913,+0.00000,-0.33913,0.1256,6,0
2220.0,G16,-0.09827,+0.00000,-0.09827,0.1171,6,0
2250.0,G03,-0.30583,+0.00000,-0.30583,0.1245,6,0
2250.0,G16,-0.04456,+0.00000,-0.04456,0.1160,6,0
2280.0,G03,-0.41405,+0.00000,-0.41405,0.1230,6,0
2280.0,G16,-0.01378,+0.00000,-0.01378,0.1149,6,0
2310.0,G03,-0.41097,+0.00000,-0.41097,0.1222,7,0
2310.0,G16,+0.10023,+0.00000,+0.10023,0.1142,6,0
2340.0,G03,-0.36947,+0.00000,-0.36947,0.1214,7,0
2340.0,G16,+0.23633,+0.00000,+0.23633,0.1135,6,0
2370.0,G03,-0.30449,+0.00000,-0.30449,0.1206,7,0
2370.0,G16,+0.30126,+0.00000,+0.30126,0.1128,6,0
2400.0,G03,-0.29289,+0.00000,-0.29289,0.1198,8,0
2400.0,G16,+0.31423,+0.00000,+0.31423,0.1121,7,0
2430.0,G03,-0.28192,+0.00000,-0.28192,0.1191,9,0
2430.0,G16,+0.29436,+0.00000,+0.29436,0.1114,8,0
2460.0,G03,-0.33266,+0.00000,-0.33266,0.1183,9,0
2460.0,G16,+0.20875,+0.00000,+0.20875,0.1079,8,0
2490.0,G03,-0.39310,+0.00000,-0.39310,0.1171,9,0
2490.0,G16,+0.06769,+0.00000,+0.06769,0.1065,8,0
2520.0,G03,-0.32970,+0.00000,-0.32970,0.1163,9,0
2520.0,G16,+0.01869,+0.00000,+0.01869,0.1057,8,0
2550.0,G03,-0.26935,+0.00000,-0.26935,0.1152,9,0
2550.0,G16,+0.07315,+0.00000,+0.07315,0.1047,8,0
2580.0,G03,-0.31147,+0.00000,-0.31147,0.1145,9,0
2580.0,G16,+0.06326,+0.00000,+0.06326,0.1039,9,0
2610.0,G03,-0.27435,+0.00000,-0.27435,0.1138,9,0
2610.0,G16,+0.14385,+0.00000,+0.14385,0.1033,9,0
2640.0,G03,-0.18230,+0.00000,-0.18230,0.1131,9,0
2640.0,G16,+0.24766,+0.00000,+0.24766,0.1024,9,0
2670.0,G03,-0.16090,+0.00000,-0.16090,0.1124,9,0
2670.0,G16,+0.23693,+0.00000,+0.23693,0.1017,10,0
2700.0,G03,-0.19425,+0.00000,-0.19425,0.1117,9,0
2700.0,G16,+0.17774,+0.00000,+0.17774,0.1011,10,0
2730.0,G03,-0.26313,+0.00000,-0.26313,0.1111,9,0
2730.0,G16,+0.11437,+0.00000,+0.11437,0.1006,10,0
2760.0,G03,-0.27230,+0.00000,-0.27230,0.1104,10,0
2760.0,G16,+0.11175,+0.00000,+0.11175,0.1000,11,0
2790.0,G03,-0.26145,+0.00000,-0.26145,0.1098,11,0
2790.0,G16,+0.17110,+0.00000,+0.17110,0.0995,11,0
2820.0,G03,-0.28039,+0.00000,-0.28039,0.1092,12,0
2820.0,G16,+0.24151,+0.00000,+0.24151,0.0990,11,0
2850.0,G03,-0.22609,+0.00000,-0.22609,0.1086,12,0
2850.0,G16,+0.32272,+0.00000,+0.32272,0.0985,11,0
2880.0,G03,-0.27113,+0.00000,-0.27113,0.1078,12,0
2880.0,G16,+0.30300,+0.00000,+0.30300,0.0980,12,0
